Student ID,Name Surname,Section
20190602010,ali,2
20190602011,ali,2
20190602012,ali,2
20190602013,ali,2
20190602014,ali,1
20190602015,ali,1
20190602016,ali,1
20190602017,ali,1
20190602018,ali,2
20190602019,ali,2
20190602020,ali,2
20190602021,ali,3
20190602022,veli,3
20190602023,veli,3
20190602024,veli,3
20190602025,veli,3
20190602026,veli,3
20190602027,veli,1
20190602028,veli,1
20190602029,veli,1
20190602030,veli,1
20190602031,veli,1
20190602032,veli,1
20190602033,veli,1
20190602034,veli,2
20190602035,veli,2
20190602036,veli,2
20190602037,veli,2
20190602038,kırkdokuz,2
20190602039,kırkdokuz,2
20190602040,kırkdokuz,2
20190602041,kırkdokuz,2
20190602042,kırkdokuz,2
20190602043,kırkdokuz,2
20190602044,kırkdokuz,2
20190602045,kırkdokuz,2
20190602046,elli,2
20190602047,elli,2
20190602048,elli,2
20190602049,elli,2
20190602050,elli,2
20190602051,elli,2
20190602052,elli,3
20190602053,elli,3
20190602054,elli,3
20190602055,elli,3
20190602056,elli,3
20190602057,elli,3
20190602058,elli,3
20190602059,elli,3
20190602060,elli,3
20190602061,elli,3
20190602062,elli,3
20190602063,elli,3
20190602064,elli,3
20190602065,elli,3
20190602066,elli,3
20190602067,elli,3
20190602068,elli,3
20190602069,elli,3
20190602070,elli,3
20190602071,elli,3
20190602072,elli,3
20190602073,elli,3
20190602074,elli,3
20190602075,elli,3
20190602076,elli,3
20190602077,elli,3
20190602078,elli,3
20190602079,elli,3
20190602080,elli,3
20190602081,elli,3
20190602082,elli,3
20190602083,elli,3
20190602084,elli,3
20190602085,elli,3
20190602086,elli,3
20190602087,elli,3
20190602088,elli,3
20190602089,elli,3
20190602090,elli,3
20190602091,elli,3
20190602092,elli,3
20190602093,elli,3
20190602094,elli,3
20190602095,elli,3
20190602096,elli,3
20190602097,elli,3
20190602098,elli,3
20190602099,elli,3
20190602100,elli,3
20320602101,elli,3
